Accession	Source Database	Name	Tax ID	Tax Name	Length
A0A1N7EMQ2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	588898	Natronorubrum daqingense	603
A0A1N7ESV5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	308853	Natronorubrum thiooxidans	550
A0A1P8RI15	unreviewed	Ammonium transporter AmtB-like domain-containing protein	588898	Natronorubrum daqingense	601
A0A1Q6NJY1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1897002	Eubacterium sp. 38_16	557
A0A1Q6PWR8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1897005	Faecalibacterium sp. CAG:74_58_120	581
A0A1Q6Q4S8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1896999	Dorea sp. 42_8	584
A0A1Q6QFY3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1897037	Firmicutes bacterium CAG_194_44_15	595
A0A1Q6R4W6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	626940	Phascolarctobacterium succinatutens	558
A0A1Q9JE84	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1261634	Roseburia sp. 499	583
A0A1Q9YFT7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1917462	Erysipelotrichaceae bacterium NYU-BL-F16	571
A0A1Q9YMG2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1702221	Faecalibaculum rodentium	564
A0A1S8AZU6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	301967	Natrinema saccharevitans	565
A0A1S9BS50	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1943579	Oribacterium sp. C9	584
A0A1S9C9P7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1764958	Epulopiscium sp. AS2M-Bin001	563
A0A1S9CM79	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1764959	Epulopiscium sp. AS2M-Bin002	545
A0A1S9CTJ6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1764962	Epulopiscium sp. Nele67-Bin004	552
A0A1T4JI33	unreviewed	Ammonium transporter AmtB-like domain-containing protein	261392	Treponema porcinum	583
A0A1T4JSS3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	290054	Eubacterium coprostanoligenes	570
A0A1T4M6N6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	225004	Treponema berlinense	581
A0A1T4MPV2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	42322	Eubacterium ruminantium	601
A0A1T4V9X3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	39495	Eubacterium uniforme	585
A0A1T4XH92	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1881060	Clostridium sp. USBA 49	582
A0A1T4XJ61	unreviewed	Ammonium transporter AmtB-like domain-containing protein	745368	Gemmiger formicilis	571
A0A1T5FXA3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	584
A0A1U7EUA9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	348780	Natronomonas pharaonis (strain ATCC 35678 / DSM 2160 / CIP 103997 / JCM 8858 / NBRC 14720 / NCIMB 2260 / Gabara)	586
A0A1U7NFL4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1862668	Ileibacterium valens	571
A0A1U7NFM1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1862668	Ileibacterium valens	571
A0A1V2M684	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1712377	Epulopiscium sp. SCG-D08WGA-EpuloA1	545
A0A1V2M6R2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1710701	Epulopiscium sp. SCG-B11WGA-EpuloA1	549
A0A1V2MD01	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1712378	Epulopiscium sp. SCG-C07WGA-EpuloA2	557
A0A1V2YEL3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1884656	Epulopiscium sp. Nuni2H_MBin001	557
A0A1V4SQP7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	48256	Ruminiclostridium hungatei	559
A0A1V5Q5C8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1852889	Firmicutes bacterium ADurb.Bin354	583
A0A1V5TUL5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1852887	Firmicutes bacterium ADurb.Bin262	589
A0A1V6AN14	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1852882	Firmicutes bacterium ADurb.Bin146	571
A0A1V6FSD6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1852880	Firmicutes bacterium ADurb.Bin080	580
A0A1W1IDJ2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	43064	Trichococcus pasteurii	588
A0A1W1IEF4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	43064	Trichococcus pasteurii	597
A0A1W1IG68	unreviewed	Ammonium transporter AmtB-like domain-containing protein	43064	Trichococcus pasteurii	559
A0A1W1ZEY0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2485925	Oscillospiraceae bacterium	594
A0A1W2AX19	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	573
A0A1W2C1Z4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1122930	Papillibacter cinnamivorans DSM 12816	669
A0A1W2CRU9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1122930	Papillibacter cinnamivorans DSM 12816	565
A0A1X4HAD1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1121945	Halorubrum ezzemoulense DSM 17463	558
A0A1Y3A9W7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855873	Halorubrum sp. SD683	558
A0A1Y3AEB2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855863	Halorubrum sp. SD612	558
A0A1Y3AJI8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1855863	Halorubrum sp. SD612	559
A0A1Y3RFC7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965664	Flavonifractor sp. An9	569
A0A1Y3RRY4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965665	Flavonifractor sp. An91	569
A0A1Y3S9H5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965660	Flavonifractor sp. An82	573
A0A1Y3SMX9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965661	Pseudoflavonifractor sp. An85	567
A0A1Y3TM33	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965654	Lachnoclostridium sp. An76	248
A0A1Y3TZQ9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965655	Faecalibacterium sp. An77	571
A0A1Y3WRK2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965648	Faecalibacterium sp. An58	576
A0A1Y3X5L2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965642	Flavonifractor sp. An52	569
A0A1Y3ZW06	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965634	Flavonifractor sp. An4	569
A0A1Y4BSP8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965629	Flavonifractor sp. An306	554
A0A1Y4F2V1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965603	Blautia sp. An249	584
A0A1Y4HI56	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965587	Anaeromassilibacillus sp. An200	575
A0A1Y4IQK8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965582	Gemmiger sp. An194	576
A0A1Y4J8M1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965581	Faecalibacterium sp. An192	571
A0A1Y4L5P0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	501571	Butyricicoccus pullicaecorum	573
A0A1Y4LM49	unreviewed	Ammonium transporter AmtB-like domain-containing protein	501571	Butyricicoccus pullicaecorum	574
A0A1Y4LNQ6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965576	Pseudoflavonifractor sp. An184	556
A0A1Y4NDW8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965570	Anaeromassilibacillus sp. An172	574
A0A1Y4NS57	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965569	Lachnoclostridium sp. An169	559
A0A1Y4NXY3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965569	Lachnoclostridium sp. An169	474
A0A1Y4T9I4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965550	Faecalibacterium sp. An121	576
A0A1Y4TK26	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965549	Gemmiger sp. An120	570
A0A1Y4URH8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1965545	Tyzzerella sp. An114	565
A0A1Z2XSS6	unreviewed	Ammonium transporter	1796620	Acutalibacter muris	584
A0A202E691	unreviewed	Ammonium transporter AmtB-like domain-containing protein	253108	Natronolimnobius baerhuensis	588
A0A238WFM2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	63740	Halorubrum vacuolatum	582
A0A238X318	unreviewed	Ammonium transporter AmtB-like domain-containing protein	337243	Halorubrum ezzemoulense	575
A0A239QIB5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	593
A0A239R8Y4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	587
A0A252F2L0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1945634	Butyricicoccus porcorum	564
A0A256HFN6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1383850	Halorubrum sp. Ib24	555
A0A256HIH6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1480728	Halorubrum sp. Hd13	571
A0A256HU74	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1383843	Halorubrum sp. Eb13	555
A0A256HVI6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1383841	Halorubrum sp. Ea8	555
A0A256HXJ0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1480718	Halorubrum sp. Ea1	555
A0A256IAU5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1383851	Halorubrum halodurans	560
A0A256J2E6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	337243	Halorubrum ezzemoulense	301
A0A256KBC6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	337243	Halorubrum ezzemoulense	558
A0A261EQJ5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	987063	Pseudoscardovia suis	570
A0A285PCX6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	558529	Natronoarchaeum philippinense	553
A0A285PVN6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	39488	Anaerobutyricum hallii	557
A0A285RSQ4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1123011	Pseudobutyrivibrio ruminis DSM 9787	581
A0A2A2FDF5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2032630	Halorubrum salipaludis	561
A0A2A5QZ19	unreviewed	Ammonium transporter AmtB-like domain-containing protein	373386	Natrinema ejinorense	566
A0A2A6ZC76	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	581
A0A2A7A1L3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	579
A0A2A7AAI1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	579
A0A2A7ART1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	580
A0A2A7AY63	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	579
A0A2A7B470	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	580
A0A2A7BC95	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	580
A0A2B7GTQ4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1608465	Natrinema sp. CBA1119	558
A0A2G1WEG4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1383844	Halorubrum persicum	555
A0A2G1WTK5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1383842	Halorubrum sp. C191	558
A0A2G3DSU6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	46206	Pseudobutyrivibrio ruminis	581
A0A2G3E3V2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1712665	Agathobacter ruminis	572
A0A2G3E8V2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	46206	Pseudobutyrivibrio ruminis	581
A0A2G3PYR5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	565
A0A2J4JM91	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	581
A0A2K4ZNQ6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	879566	Acetatifactor muris	585
A0A2K9P203	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1981510	Monoglobus pectinilyticus	573
A0A2N0UWP7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	40518	Ruminococcus bromii	566
A0A2N1RFZ0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2013840	Spirochaetae bacterium HGW-Spirochaetae-8	566
A0A2N1ZZK7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2013790	Firmicutes bacterium HGW-Firmicutes-9	589
A0A2N2A3X2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2013790	Firmicutes bacterium HGW-Firmicutes-9	574
A0A2N2BXD1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2013783	Firmicutes bacterium HGW-Firmicutes-21	579
A0A2N2CN54	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2013777	Firmicutes bacterium HGW-Firmicutes-16	572
A0A2R6CGI2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919148	Halobacteriales archaeon QH_10_67_13	567
A0A2R6DG65	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919154	Halobacteriales archaeon QH_6_64_20	540
A0A2R6EHW0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919167	Halobacteriales archaeon QS_1_67_19	553
A0A2R6ETP9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919158	Halobacteriales archaeon QH_7_66_36	562
A0A2R6EZG2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919162	Halobacteriales archaeon QH_8_64_26	573
A0A2R6FM49	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919171	Halobacteriales archaeon QS_1_69_70	554
A0A2R6FX01	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919172	Halobacteriales archaeon QS_3_64_16	573
A0A2R6FYC5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919166	Halobacteriales archaeon QH_9_66_26	591
A0A2R6GLV1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919175	Halobacteriales archaeon QS_4_69_225	580
A0A2R6H2H7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919168	Halobacteriales archaeon QS_1_68_17	556
A0A2R6HFY0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919177	Halobacteriales archaeon QS_4_69_34	594
A0A2R6HGN0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919174	Halobacteriales archaeon QS_4_66_20	562
A0A2R6I3E5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919178	Halobacteriales archaeon QS_4_70_19	573
A0A2R6IP35	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919183	Halobacteriales archaeon QS_6_71_20	555
A0A2R6JNJ8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919188	Halobacteriales archaeon QS_8_69_73	588
A0A2R6K016	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919186	Halobacteriales archaeon QS_8_65_32	573
A0A2R6KFC5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919191	Halobacteriales archaeon QS_9_68_17	555
A0A2R6L1E7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919194	Halobacteriales archaeon SW_10_66_29	562
A0A2R6LIY7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919199	Halobacteriales archaeon SW_5_68_122	459
A0A2R6LZL3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919196	Halobacteriales archaeon SW_12_67_38	591
A0A2R6M9Y9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919203	Halobacteriales archaeon SW_7_65_23	562
A0A2R6N841	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919207	Halobacteriales archaeon SW_8_66_22	562
A0A2R6N9Z3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1919209	Halobacteriales archaeon SW_9_67_24	591
A0A2S0M5G2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	907	Megasphaera elsdenii	605
A0A2S0M903	unreviewed	Ammonium transporter AmtB-like domain-containing protein	907	Megasphaera elsdenii	575
A0A2T0B6K8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	52704	Clostridium vincentii	553
A0A2T3FE90	unreviewed	Ammonium transporter AmtB-like domain-containing protein	460384	Enterocloster lavalensis	572
A0A2T5IEE6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	382641	Trichococcus patagoniensis	588
A0A2T5IJN6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	382641	Trichococcus patagoniensis	559
A0A2T5IP85	unreviewed	Ammonium transporter AmtB-like domain-containing protein	382641	Trichococcus patagoniensis	597
A0A2U2EER7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	39491	Agathobacter rectalis	585
A0A2V1JRW0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	39490	Eubacterium ramulus	585
A0A2V2CWD0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	579
A0A2V2DIY8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	582
A0A2V2DR78	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	571
A0A2V2DSP1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	563
A0A2V2E7V3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	580
A0A2V2EWK3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	545
A0A2V2EXD4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1879010	Bacillota bacterium	583
A0A2V2F5A3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2485925	Oscillospiraceae bacterium	577
A0A2V2GRB1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2485925	Oscillospiraceae bacterium	585
A0A2Y9CAP5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1544	Faecalicatena orotica	588
A0A2Z2HRJ4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	745377	Natrarchaeobaculum aegyptiacum	575
A0A315Y7U6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1265	Ruminococcus flavefaciens	595
A0A316C0R3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2202136	Ruminococcaceae bacterium R-25	589
A0A316L7Q2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1879010	Bacillota bacterium	554
A0A316LYI4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	582
A0A316M754	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	582
A0A316PAM5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2044939	Clostridia bacterium	569
A0A316Q5V2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2137878	Selenomonadales bacterium	581
A0A316QTT7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	591
A0A316RBP1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	582
A0A317G0I6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	831	Butyrivibrio fibrisolvens	591
A0A317ULB1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2212480	Blautia sp. BCRC 81119	574
A0A318XMF9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1121337	Ruminiclostridium sufflavum DSM 19573	557
A0A328UCK6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2764322	Hydrogeniiclostridium mannosilyticum	575
A0A329T9W9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2249761	Halorubrum sp. 48-1-W	559
A0A329TIZ6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	581
A0A329U1X5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	579
A0A329U912	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	581
A0A329U9C4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	580
A0A329UNK8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	579
A0A343TP47	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2055893	Halalkaliarchaeum desulfuricum	565
A0A345E078	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1547898	Haloplanus rubicundus	548
A0A345E9S5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1547898	Haloplanus rubicundus	548
A0A346PKS2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2044521	Natrarchaeobaculum sulfurireducens	572
A0A348N845	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	244
A0A348SZ39	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2485925	Oscillospiraceae bacterium	574
A0A349IJT1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1969407	Oribacterium sp.	583
A0A350J6B8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	245
A0A350VVQ9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	142586	Eubacterium sp.	573
A0A350WYP9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1879010	Bacillota bacterium	555
A0A350X0B6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1879010	Bacillota bacterium	557
A0A351PIU1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	142586	Eubacterium sp.	593
A0A351PVI3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	142586	Eubacterium sp.	291
A0A351Q9K7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	166	Treponema sp.	583
A0A351R4U7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2049040	Roseburia sp.	583
A0A351THN6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	539
A0A351XAB7	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2485925	Oscillospiraceae bacterium	456
A0A351XND4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	573
A0A352B953	unreviewed	Ammonium transporter AmtB-like domain-containing protein	166	Treponema sp.	429
A0A352CNH9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	589
A0A352CV27	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	538
A0A352DPV9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	41978	Ruminococcus sp.	603
A0A352SI43	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	561
A0A352T829	unreviewed	Ammonium transporter AmtB-like domain-containing protein	142586	Eubacterium sp.	587
A0A352TBQ4	unreviewed	Ammonium transporter AmtB-like domain-containing protein	166	Treponema sp.	429
A0A352WLA9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	584
A0A353S6E3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	166	Treponema sp.	588
A0A354CV11	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2485925	Oscillospiraceae bacterium	428
A0A354D398	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	588
A0A354M8Q0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2485925	Oscillospiraceae bacterium	596
A0A354MTA6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	570
A0A354UC59	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	444
A0A354UXJ2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	571
A0A354WS17	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1955814	Dialister sp.	609
A0A355L532	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2485925	Oscillospiraceae bacterium	580
A0A355U0T8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	41978	Ruminococcus sp.	578
A0A355YJX2	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	557
A0A356JZA1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	166	Treponema sp.	583
A0A357AR78	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898203	Lachnospiraceae bacterium	591
A0A357TLZ9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2485925	Oscillospiraceae bacterium	276
A0A358M7Q9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	579
A0A358WFN9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2485925	Oscillospiraceae bacterium	594
A0A359JIV1	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1898207	Clostridiales bacterium	586
A0A365TD36	unreviewed	Ammonium transporter AmtB-like domain-containing protein	29295	halophilic archaeon	554
A0A367G5A8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2086273	Subdoligranulum sp. APC924/74	574
A0A367G6Z8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	40520	Blautia obeum	574
A0A367GD87	unreviewed	Ammonium transporter AmtB-like domain-containing protein	853	Faecalibacterium prausnitzii	579
A0A368NBY6	unreviewed	Ammonium transporter AmtB-like domain-containing protein	1126245	Haloplanus salinus	553
A0A372MIA9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2293840	Sphaerochaeta halotolerans	557
A0A373HQJ5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2292991	Catenibacterium sp. AM22-15	563
A0A373IZ41	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2292890	Firmicutes bacterium AM10-47	579
A0A373LKK3	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2293108	Eubacterium sp. AF36-5BH	584
A0A373LV07	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2293015	Clostridium sp. AF36-4	587
A0A373NBW8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2293174	Ruminococcus sp. AF31-8BH	576
A0A373NHW0	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2293109	Faecalibacterium sp. OF04-11AC	581
A0A373TDA5	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2293005	Clostridium sp. AF23-6LB	593
A0A373VPI8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2292961	Blautia sp. AF19-10LB	579
A0A373W3B8	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2293105	Eubacterium sp. AF17-7	583
A0A373WB21	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2293154	Ruminococcus sp. AF17-6	590
A0A373WB62	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2293154	Ruminococcus sp. AF17-6	556
A0A373WNC9	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2293154	Ruminococcus sp. AF17-6	553
A0A374AZ37	unreviewed	Ammonium transporter AmtB-like domain-containing protein	2292884	Firmicutes bacterium AF12-30	580
